"session","year","issue","n_members","asean_mean","asean_sd","asean_min","asean_max","asean_range","us_idealpoint","china_idealpoint","mean_dist_us","mean_dist_china"
33,1978,"Nuclear",9,-0.510235911111111,0.653300552202456,-1.491265,0.4678278,1.9590928,2.972704,0.9548611,3.48293991111111,1.46509701111111
34,1979,"All",9,-0.168146307777778,0.581506860558845,-1.241613,0.4022012,1.6438142,2.354093,-0.05311142,2.52223930777778,0.115034887777778
34,1979,"Human Rights",9,-0.401621774,0.545874170369579,-1.333194,0.171334,1.504528,3.125536,-0.7063591,3.527157774,0.304737326
34,1979,"Middle East",9,-0.235705818888889,0.601121308130964,-0.996881,0.7046786,1.7015596,3.157219,-0.9871394,3.39292481888889,0.751433581111111
34,1979,"Non-Nuclear",9,-0.14752495,0.549983016158866,-1.135318,0.3937006,1.5290186,2.297626,-0.07855172,2.44515095,0.06897323
34,1979,"Nuclear",9,-0.511247611111111,0.64356625552821,-1.507497,0.4343981,1.9418951,2.996378,0.7935395,3.50762561111111,1.30478711111111
35,1980,"All",9,-0.283170627333333,0.785919965618979,-1.722776,0.39358,2.116356,2.450686,-0.03347984,2.73385662733333,0.249690787333333
35,1980,"Human Rights",9,-0.359897033333333,0.705790993446411,-1.579653,0.3636637,1.9433167,3.127616,-0.6744908,3.48751303333333,0.314593766666667
35,1980,"Middle East",9,-0.251432377777778,0.591229930960927,-0.9466231,0.807273,1.7538961,3.183525,-0.9298287,3.43495737777778,0.678396322222222
35,1980,"Non-Nuclear",9,-0.24256102,0.766754037568236,-1.665958,0.4355419,2.1014999,2.369428,0.01412094,2.61198902,0.25668196
35,1980,"Nuclear",9,-0.482019344444444,0.589388216798334,-1.368281,0.3389401,1.7072211,3.123799,0.6072133,3.60581834444444,1.08923264444444
36,1981,"All",9,-0.417087426666667,0.802406653241219,-1.805302,0.2758482,2.0811502,2.767644,-0.02059494,3.18473142666667,0.396492486666667
36,1981,"Human Rights",9,-0.307422152711111,0.767789960942564,-1.63768,0.3703117,2.0079917,3.275289,-0.4286347,3.58271115271111,0.121212547288889
36,1981,"Middle East",9,-0.372205255555556,0.510064966237253,-0.9677578,0.5703302,1.538088,3.479355,-0.7620469,3.85156025555556,0.389841644444444
36,1981,"Non-Nuclear",9,-0.395748445555556,0.794069153139207,-1.776041,0.2338308,2.0098718,2.702694,-0.04049149,3.09844244555556,0.355256955555556
