"ccode","session","IdealPoint","NVotes","Countryname","year","issue","country_label","is_asean"
830,25,0.1826552,64,"Singapore",1970,"All","Singapore",TRUE
830,26,0.2542822,119,"Singapore",1971,"All","Singapore",TRUE
830,27,0.3251622,96,"Singapore",1972,"All","Singapore",TRUE
830,28,0.08743088,90,"Singapore",1973,"All","Singapore",TRUE
830,29,0.2636038,71,"Singapore",1974,"All","Singapore",TRUE
830,30,0.2437402,66,"Singapore",1975,"All","Singapore",TRUE
830,31,0.04754302,83,"Singapore",1976,"All","Singapore",TRUE
830,32,0.2098513,90,"Singapore",1977,"All","Singapore",TRUE
830,33,0.3208412,125,"Singapore",1978,"All","Singapore",TRUE
830,34,0.4022012,119,"Singapore",1979,"All","Singapore",TRUE
830,35,0.3073592,99,"Singapore",1980,"All","Singapore",TRUE
830,36,0.2668015,121,"Singapore",1981,"All","Singapore",TRUE
830,37,0.2638299,148,"Singapore",1982,"All","Singapore",TRUE
830,38,0.08397244,142,"Singapore",1983,"All","Singapore",TRUE
830,39,-0.05343077,139,"Singapore",1984,"All","Singapore",TRUE
830,40,-0.01521441,139,"Singapore",1985,"All","Singapore",TRUE
830,41,0.06272764,138,"Singapore",1986,"All","Singapore",TRUE
830,42,0.07603314,136,"Singapore",1987,"All","Singapore",TRUE
830,43,0.01409959,129,"Singapore",1988,"All","Singapore",TRUE
830,44,-0.1204484,112,"Singapore",1989,"All","Singapore",TRUE
830,45,-0.2221511,86,"Singapore",1990,"All","Singapore",TRUE
830,46,-0.4305252,75,"Singapore",1991,"All","Singapore",TRUE
830,47,-0.1674723,74,"Singapore",1992,"All","Singapore",TRUE
830,48,-0.2065345,65,"Singapore",1993,"All","Singapore",TRUE
830,49,-0.2829695,68,"Singapore",1994,"All","Singapore",TRUE
830,50,-0.3253058,81,"Singapore",1995,"All","Singapore",TRUE
830,51,-0.4127312,74,"Singapore",1996,"All","Singapore",TRUE
830,52,-0.5714862,72,"Singapore",1997,"All","Singapore",TRUE
830,53,-0.2649548,64,"Singapore",1998,"All","Singapore",TRUE
830,54,-0.3553609,67,"Singapore",1999,"All","Singapore",TRUE
830,55,-0.1969106,67,"Singapore",2000,"All","Singapore",TRUE
830,56,-0.2843417,68,"Singapore",2001,"All","Singapore",TRUE
830,57,-0.1752234,74,"Singapore",2002,"All","Singapore",TRUE
830,58,-0.181328,76,"Singapore",2003,"All","Singapore",TRUE
830,59,-0.2258122,71,"Singapore",2004,"All","Singapore",TRUE
830,60,-0.3244231,75,"Singapore",2005,"All","Singapore",TRUE
830,61,-0.2509605,92,"Singapore",2006,"All","Singapore",TRUE
830,62,-0.2576967,79,"Singapore",2007,"All","Singapore",TRUE
830,63,-0.3819349,76,"Singapore",2008,"All","Singapore",TRUE
830,64,-0.4208825,68,"Singapore",2009,"All","Singapore",TRUE
830,65,-0.4830081,68,"Singapore",2010,"All","Singapore",TRUE
830,66,-0.7073248,68,"Singapore",2011,"All","Singapore",TRUE
830,67,-0.4183676,69,"Singapore",2012,"All","Singapore",TRUE
830,68,-0.6413542,64,"Singapore",2013,"All","Singapore",TRUE
830,69,-0.4512846,80,"Singapore",2014,"All","Singapore",TRUE
830,70,-0.6674758,73,"Singapore",2015,"All","Singapore",TRUE
830,71,-0.6288597,78,"Singapore",2016,"All","Singapore",TRUE
830,72,-0.7473469,90,"Singapore",2017,"All","Singapore",TRUE
830,73,-0.4258829,95,"Singapore",2018,"All","Singapore",TRUE
830,74,-0.4694771,91,"Singapore",2019,"All","Singapore",TRUE
835,39,-0.08972363,146,"Brunei",1984,"All","Brunei",TRUE
835,40,-0.1408778,148,"Brunei",1985,"All","Brunei",TRUE
835,41,-0.1691447,150,"Brunei",1986,"All","Brunei",TRUE
835,42,-0.2664647,141,"Brunei",1987,"All","Brunei",TRUE
835,43,-0.3529251,134,"Brunei",1988,"All","Brunei",TRUE
835,44,-0.3431976,113,"Brunei",1989,"All","Brunei",TRUE
835,45,-0.5349136,85,"Brunei",1990,"All","Brunei",TRUE
835,46,-0.9457799,74,"Brunei",1991,"All","Brunei",TRUE
835,47,-0.8762826,73,"Brunei",1992,"All","Brunei",TRUE
835,48,-0.9291922,64,"Brunei",1993,"All","Brunei",TRUE
835,49,-0.8449204,66,"Brunei",1994,"All","Brunei",TRUE
835,50,-0.9581053,81,"Brunei",1995,"All","Brunei",TRUE
835,51,-0.7598371,74,"Brunei",1996,"All","Brunei",TRUE
835,52,-0.6829524,72,"Brunei",1997,"All","Brunei",TRUE
835,53,-0.8435711,64,"Brunei",1998,"All","Brunei",TRUE
835,54,-0.8771919,66,"Brunei",1999,"All","Brunei",TRUE
835,55,-0.8651316,67,"Brunei",2000,"All","Brunei",TRUE
835,56,-0.9916943,67,"Brunei",2001,"All","Brunei",TRUE
835,57,-0.8080824,74,"Brunei",2002,"All","Brunei",TRUE
835,58,-1.183856,76,"Brunei",2003,"All","Brunei",TRUE
835,59,-0.7775941,72,"Brunei",2004,"All","Brunei",TRUE
835,60,-0.9764973,75,"Brunei",2005,"All","Brunei",TRUE
835,61,-0.9578211,91,"Brunei",2006,"All","Brunei",TRUE
835,62,-0.6129482,79,"Brunei",2007,"All","Brunei",TRUE
835,63,-0.5879683,76,"Brunei",2008,"All","Brunei",TRUE
835,64,-0.8986147,68,"Brunei",2009,"All","Brunei",TRUE
835,65,-0.9992294,68,"Brunei",2010,"All","Brunei",TRUE
835,66,-0.9469778,66,"Brunei",2011,"All","Brunei",TRUE
835,67,-0.8864694,69,"Brunei",2012,"All","Brunei",TRUE
835,68,-0.9862823,64,"Brunei",2013,"All","Brunei",TRUE
835,69,-1.037055,79,"Brunei",2014,"All","Brunei",TRUE
835,70,-1.049026,73,"Brunei",2015,"All","Brunei",TRUE
835,71,-0.9164218,77,"Brunei",2016,"All","Brunei",TRUE
835,72,-0.9267896,90,"Brunei",2017,"All","Brunei",TRUE
835,73,-0.9243476,94,"Brunei",2018,"All","Brunei",TRUE
835,74,-0.8108705,91,"Brunei",2019,"All","Brunei",TRUE
840,22,0.7157356,57,"Philippines",1967,"All","Philippines",TRUE
840,23,0.3817123,51,"Philippines",1968,"All","Philippines",TRUE
840,24,0.4316826,43,"Philippines",1969,"All","Philippines",TRUE
840,25,0.4174802,67,"Philippines",1970,"All","Philippines",TRUE
840,26,0.456761,109,"Philippines",1971,"All","Philippines",TRUE
840,27,0.478549,100,"Philippines",1972,"All","Philippines",TRUE
840,28,0.1290621,87,"Philippines",1973,"All","Philippines",TRUE
840,29,0.2499495,73,"Philippines",1974,"All","Philippines",TRUE
840,30,0.2163237,69,"Philippines",1975,"All","Philippines",TRUE
840,31,-0.1537035,87,"Philippines",1976,"All","Philippines",TRUE
840,32,0.07869225,90,"Philippines",1977,"All","Philippines",TRUE
840,33,0.05361505,127,"Philippines",1978,"All","Philippines",TRUE
840,34,0.01516373,122,"Philippines",1979,"All","Philippines",TRUE
840,35,0.002164554,103,"Philippines",1980,"All","Philippines",TRUE
840,36,-0.1584312,133,"Philippines",1981,"All","Philippines",TRUE
840,37,0.1908585,157,"Philippines",1982,"All","Philippines",TRUE
840,38,0.257344,147,"Philippines",1983,"All","Philippines",TRUE
840,39,0.006154042,142,"Philippines",1984,"All","Philippines",TRUE
840,40,-0.01571149,141,"Philippines",1985,"All","Philippines",TRUE
840,41,-0.1589853,153,"Philippines",1986,"All","Philippines",TRUE
840,42,-0.2068305,141,"Philippines",1987,"All","Philippines",TRUE
840,43,-0.02731405,134,"Philippines",1988,"All","Philippines",TRUE
840,44,-0.1117196,116,"Philippines",1989,"All","Philippines",TRUE
840,45,-0.6069349,86,"Philippines",1990,"All","Philippines",TRUE
840,46,-0.7452802,73,"Philippines",1991,"All","Philippines",TRUE
840,47,-0.4371732,74,"Philippines",1992,"All","Philippines",TRUE
840,48,-0.7014838,65,"Philippines",1993,"All","Philippines",TRUE
840,49,-0.5142468,68,"Philippines",1994,"All","Philippines",TRUE
840,50,-0.5233329,81,"Philippines",1995,"All","Philippines",TRUE
840,51,-0.6307118,73,"Philippines",1996,"All","Philippines",TRUE
840,52,-0.8619583,72,"Philippines",1997,"All","Philippines",TRUE
840,53,-0.8715408,64,"Philippines",1998,"All","Philippines",TRUE
840,54,-0.8306408,66,"Philippines",1999,"All","Philippines",TRUE
840,55,-0.4823561,66,"Philippines",2000,"All","Philippines",TRUE
840,56,-0.3840552,69,"Philippines",2001,"All","Philippines",TRUE
840,57,-0.4697146,75,"Philippines",2002,"All","Philippines",TRUE
840,58,-0.5199551,75,"Philippines",2003,"All","Philippines",TRUE
840,59,-0.4303349,71,"Philippines",2004,"All","Philippines",TRUE
840,60,-0.4571134,74,"Philippines",2005,"All","Philippines",TRUE
840,61,-0.482785,90,"Philippines",2006,"All","Philippines",TRUE
840,62,-0.4480078,79,"Philippines",2007,"All","Philippines",TRUE
840,63,-0.4979418,74,"Philippines",2008,"All","Philippines",TRUE
840,64,-0.5049389,65,"Philippines",2009,"All","Philippines",TRUE
840,65,-0.5070622,68,"Philippines",2010,"All","Philippines",TRUE
840,66,-0.3497964,67,"Philippines",2011,"All","Philippines",TRUE
840,67,-0.4531034,69,"Philippines",2012,"All","Philippines",TRUE
840,68,-0.5136665,63,"Philippines",2013,"All","Philippines",TRUE
840,69,-0.4874269,78,"Philippines",2014,"All","Philippines",TRUE
840,70,-0.5061276,73,"Philippines",2015,"All","Philippines",TRUE
840,71,-0.7333866,78,"Philippines",2016,"All","Philippines",TRUE
840,72,-0.8038916,90,"Philippines",2017,"All","Philippines",TRUE
