"session","year","issue","mean_dist_us","mean_dist_china","pct_closer_china"
45,1990,"All",3.65365822222222,0.418932922222222,1
45,1990,"Human Rights",3.46843979888889,0.207561501111111,1
45,1990,"Important Votes",3.85017422555556,0.658933692222222,1
45,1990,"Middle East",3.25410043777778,0.270853251111111,1
45,1990,"Non-Nuclear",3.65417177777778,0.2047103,1
45,1990,"Nuclear",4.01491192888889,1.02135252888889,1
46,1991,"All",3.77498175,0.49544335,1
46,1991,"Human Rights",3.58312415,0.37534779,1
46,1991,"Important Votes",4.039081738,0.507335342,1
46,1991,"Middle East",3.41512416,0.17886134,1
46,1991,"Non-Nuclear",3.75529715,0.26004557,1
46,1991,"Nuclear",3.9431325,0.8918012,1
47,1992,"All",3.80070742,0.3141764,1
47,1992,"Human Rights",3.59922543366667,0.569573566333333,1
47,1992,"Important Votes",4.40735475555556,0.5168588,1
47,1992,"Middle East",3.50349286666667,0.235525155555556,1
47,1992,"Non-Nuclear",3.73311956,0.58338944,1
47,1992,"Nuclear",3.96650810222222,0.874701502222222,1
48,1993,"All",3.908907,0.485621,1
48,1993,"Human Rights",3.839316169,0.659154431,1
48,1993,"Important Votes",4.29817145,0.82391195,1
48,1993,"Middle East",3.76949367,0.25205547,1
48,1993,"Non-Nuclear",3.86141014,0.60045786,1
48,1993,"Nuclear",3.981709334,0.775394534,1
49,1994,"All",3.89638716,0.75234884,1
49,1994,"Human Rights",4.1080377,0.8729223,1
49,1994,"Important Votes",4.43339446666667,1.16662553333333,1
49,1994,"Middle East",4.45445613,0.28267507,1
49,1994,"Non-Nuclear",3.93568336,0.83141964,1
49,1994,"Nuclear",3.973614,0.625088,1
50,1995,"All",4.027371246,0.619936354,1
50,1995,"Human Rights",4.43159528,1.06579672,1
50,1995,"Important Votes",3.82259064,0.83820436,1
50,1995,"Middle East",4.68369823,0.32490377,1
50,1995,"Non-Nuclear",4.157188734,0.772050666,1
50,1995,"Nuclear",3.81118012,0.4563519,1
51,1996,"All",4.03850964,0.53036096,1
51,1996,"Human Rights",4.316685586,1.089899414,1
51,1996,"Important Votes",3.85538007,0.79780893,1
51,1996,"Middle East",4.894604763,0.295173637,1
51,1996,"Non-Nuclear",4.28699367,0.56394173,1
51,1996,"Nuclear",3.67200504,0.40772782,1
52,1997,"All",4.00382184444444,0.365821933333333,1
52,1997,"Human Rights",4.35280076666667,0.880736233333333,1
52,1997,"Important Votes",4.12119784444444,0.706225155555556,1
52,1997,"Middle East",5.01188101644444,0.215047872444444,1
52,1997,"Non-Nuclear",4.32186631111111,0.335894577777778,1
52,1997,"Nuclear",3.23049538888889,0.384693544444444,1
53,1998,"All",3.66569516666667,0.448616166666667,1
53,1998,"Human Rights",3.92831633333333,0.670226666666667,1
53,1998,"Important Votes",4.13146432222222,0.509756566666667,1
53,1998,"Middle East",4.24832053333333,0.190574811111111,1
53,1998,"Non-Nuclear",3.93489632222222,0.3199199,1
53,1998,"Nuclear",3.14674477777778,0.726358197777778,1
54,1999,"All",3.58273805,0.32767323,1
54,1999,"Human Rights",3.60221096,0.76154504,1
54,1999,"Important Votes",4.47306428,0.34839172,1
54,1999,"Middle East",4.07178961,0.17657479,1
